Geneid,SRR390728,SRR390729,SRR390730,p_value,adjusted_p_value
gadF,6.557513296165079,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
gadY,7.249950519274811,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rdlD,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
proK,5.308292573951326,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
xylZ,6.808512250026917,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rirA,6.690867246675167,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
selC,6.690867246675167,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
uhpU,7.175897177131124,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
istR,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rbsZ,7.318896042338866,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrsC,10.143611543829069,9.447725108992428,10.695618658699932,1.2847958349235085e-66,2.6466794199424275e-64
gltU,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrlC,11.036687285463342,9.85316392716194,9.373925087591001,1.2847958349235085e-66,2.6466794199424275e-64
rrfC,7.095918200697526,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
aspT,4.620083552488898,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
trpT,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
argX,7.008982137209845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
hisR,6.557513296165079,5.761916816420069,6.484995749666248,1.2847958349235085e-66,2.6466794199424275e-64
leuT,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
proM,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glmZ,6.808512250026917,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
esrE,7.008982137209845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrsA,8.914382271436402,8.93695206303035,8.68086281288289,1.2847958349235085e-66,2.6466794199424275e-64
ileT,6.221608662818688,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
alaT,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrlA,9.477793713799837,9.885952053836123,9.933504485097254,1.2847958349235085e-66,2.6466794199424275e-64
rrfA,6.403599156856591,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
spf,6.557513296165079,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
csrC,7.829456473498845,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
cpxQ,7.249950519274811,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
oxyS,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrsB,9.052951036274631,10.51238417200132,9.933504485097254,1.2847958349235085e-66,2.6466794199424275e-64
gltT,6.557513296165079,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
rrlB,9.292406080321811,8.849952635156084,9.401321766926307,1.2847958349235085e-66,2.6466794199424275e-64
rrfB,5.998961500224447,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
thrU,6.690867246675167,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
tyrU,6.808512250026917,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
glyT,7.746109458888275,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
thrT,10.21969096921887,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
sroH,7.383393131767288,0.0,0.0,1.2847958349235085e-66,2.6466794199424275e-64
